Reyex,Reyey,Leyex,Leyey,Rearx,Reary,Learx,Leary,nosex,nosey
992,656,798,640,1055,385,732,365,890,824
992,660,797,644,1056,388,730,368,890,828
991,661,797,644,1055,388,730,367,889,828
992,661,797,644,1056,387,731,367,890,828
991,663,798,646,1057,390,731,367,890,829
991,664,798,646,1057,390,731,367,889,830
991,664,798,646,1058,390,731,367,889,830
991,664,798,646,1054,385,732,367,889,830
991,664,797,647,1052,383,731,368,889,830
990,665,796,646,1053,384,730,368,890,830
989,663,797,646,1052,384,730,368,889,830
991,663,799,647,1053,384,731,369,892,830
992,663,799,647,1056,384,732,368,891,831
991,663,799,647,1056,385,731,368,891,830
991,662,798,646,1054,385,731,368,891,831
989,665,797,650,1054,386,731,369,888,833
991,666,797,651,1055,389,731,369,887,834
990,665,797,648,1054,388,730,370,889,831
991,664,798,647,1055,387,730,369,890,831
990,665,797,649,1055,388,730,370,890,834
991,664,797,648,1052,386,731,369,889,832
991,663,798,646,1046,380,729,369,892,830
992,663,799,647,1048,382,730,369,893,830
992,664,800,648,1050,384,730,370,894,830
994,666,801,648,1049,386,730,374,895,830
997,661,804,644,1050,387,730,374,896,826
998,657,803,642,1048,385,730,373,898,825
998,654,803,643,1047,385,726,374,899,823
999,656,806,644,1049,386,728,375,903,825
1001,657,807,644,1050,384,727,375,906,824
1001,657,808,644,1051,383,728,373,904,825
1000,657,806,644,1049,381,729,373,903,825
999,656,805,643,1048,379,728,371,903,825
998,656,805,643,1048,379,728,370,901,824
999,654,806,642,1045,377,727,369,902,822
1000,654,807,642,1045,377,728,369,905,822
1000,655,807,643,1047,381,728,371,905,825
1000,658,806,646,1047,382,726,374,903,828
1001,661,807,651,1048,384,725,377,908,833
1008,646,827,652,1048,374,726,380,934,821
1115,736,928,684,1230,489,918,421,987,869
1115,728,923,685,1227,489,905,425,992,872
1116,734,920,695,1226,487,895,432,996,888
1111,742,912,708,1222,492,885,442,991,899
1110,741,908,711,1214,488,874,445,995,900
1112,738,909,712,1211,490,867,447,998,903
1110,740,903,715,1212,489,857,443,994,909
1114,743,904,721,1211,489,854,444,1000,920
1120,749,908,731,1213,491,849,450,1009,932
1126,754,912,737,1214,492,848,454,1016,939
1132,759,916,741,1221,494,854,460,1019,946
1130,762,913,741,1225,498,852,461,1012,946
1132,757,913,733,1228,498,852,460,1014,939
1138,746,917,720,1234,491,852,454,1016,928
1140,735,918,711,1245,483,855,440,1017,925
1143,729,918,705,1251,476,856,434,1015,918
1142,723,917,696,1258,476,857,428,1015,910
